bmse000151,bmse000151
bmse000154,bmse000154
bmse000155,bmse000155
bmse000157,bmse000157
bmse000158,bmse000158
bmse000159,bmse000159
bmse000160,bmse000160
bmse000161,bmse000161
bmse000162,bmse000162
bmse000163,bmse000163
bmse000168,bmse000168
bmse000170,bmse000170
bmse000171_1,bmse000171
bmse000171_2,bmse000171
bmse000172,bmse000172
bmse000173,bmse000173
bmse000174,bmse000174
bmse000176,bmse000176
bmse000177,bmse000177
bmse000180,bmse000180
bmse000182,bmse000182
bmse000183,bmse000183
bmse000184,bmse000184
bmse000185,bmse000185
bmse000187,bmse000187
bmse000189_1,bmse000189
bmse000189_2,bmse000189
bmse000190,bmse000190
bmse000191,bmse000191
bmse000193,bmse000193
bmse000195,bmse000195
bmse000196,bmse000196
bmse000199,bmse000199
bmse000202,bmse000202
bmse000203,bmse000203
bmse000205_1,bmse000205
bmse000205_2,bmse000205
bmse000206,bmse000206
bmse000207,bmse000207
bmse000209,bmse000209
bmse000212,bmse000212
bmse000219,bmse000219
bmse000220,bmse000220
bmse000223,bmse000223
bmse000225,bmse000225
bmse000227,bmse000227
bmse000228,bmse000228
bmse000232,bmse000232
bmse000241,bmse000241
bmse000242,bmse000242
bmse000244,bmse000244
bmse000245,bmse000245
bmse000248,bmse000248
bmse000249,bmse000249
bmse000252,bmse000252
bmse000256,bmse000256
bmse000258,bmse000258
bmse000259,bmse000259
bmse000264,bmse000264
bmse000265,bmse000265
bmse000267,bmse000267
bmse000269,bmse000269
bmse000270,bmse000270
bmse000272,bmse000272
bmse000273,bmse000273
bmse000275,bmse000275
bmse000276,bmse000276
bmse000277,bmse000277
bmse000279,bmse000279
bmse000280,bmse000280
bmse000281,bmse000281
bmse000282,bmse000282
bmse000284,bmse000284
bmse000285,bmse000285
bmse000286,bmse000286
bmse000287,bmse000287
bmse000288,bmse000288
bmse000290,bmse000290
bmse000291,bmse000291
bmse000292,bmse000292
bmse000293,bmse000293
bmse000294,bmse000294
bmse000295,bmse000295
bmse000297,bmse000297
bmse000300,bmse000300
bmse000302,bmse000302
bmse000303,bmse000303
bmse000305,bmse000305
bmse000308,bmse000308
bmse000310,bmse000310
bmse000311,bmse000311
bmse000312,bmse000312
bmse000313,bmse000313
bmse000314,bmse000314
bmse000316,bmse000316
bmse000319,bmse000319
bmse000320,bmse000320
bmse000322,bmse000322
bmse000324,bmse000324
bmse000325,bmse000325
bmse000326,bmse000326
bmse000327,bmse000327
bmse000328,bmse000328
bmse000329,bmse000329
bmse000330,bmse000330
bmse000331,bmse000331
bmse000334,bmse000334
bmse000338,bmse000338
bmse000339,bmse000339
bmse000340,bmse000340
bmse000341,bmse000341
bmse000342,bmse000342
bmse000343,bmse000343
bmse000344,bmse000344
bmse000345,bmse000345
bmse000347,bmse000347
bmse000350,bmse000350
bmse000351,bmse000351
bmse000352,bmse000352
bmse000355,bmse000355
bmse000356,bmse000356
bmse000361,bmse000361
bmse000362,bmse000362
bmse000364,bmse000364
bmse000369,bmse000369
bmse000372,bmse000372
bmse000376,bmse000376
bmse000377,bmse000377
bmse000379,bmse000379
bmse000380,bmse000380
bmse000381,bmse000381
bmse000382,bmse000382
bmse000384,bmse000384
bmse000385,bmse000385
bmse000387,bmse000387
bmse000388,bmse000388
bmse000389,bmse000389
bmse000390,bmse000390
bmse000391,bmse000391
bmse000392,bmse000392
bmse000394,bmse000394
bmse000396,bmse000396
bmse000397,bmse000397
bmse000398,bmse000398
bmse000399,bmse000399
bmse000400,bmse000400
bmse000402,bmse000402
bmse000406,bmse000406
bmse000408,bmse000408
bmse000409,bmse000409
bmse000410,bmse000410
bmse000411,bmse000411
bmse000412,bmse000412
bmse000413,bmse000413
bmse000415,bmse000415
bmse000421,bmse000421
bmse000422,bmse000422
bmse000423,bmse000423
bmse000424,bmse000424
bmse000425,bmse000425
bmse000426,bmse000426
bmse000428,bmse000428
bmse000431,bmse000431
bmse000432,bmse000432
bmse000433,bmse000433
bmse000435,bmse000435
bmse000437,bmse000437
bmse000439,bmse000439
bmse000440,bmse000440
bmse000441,bmse000441
bmse000442,bmse000442
bmse000443,bmse000443
bmse000444,bmse000444
bmse000445,bmse000445
bmse000446,bmse000446
bmse000447,bmse000447
bmse000448,bmse000448
bmse000449,bmse000449
bmse000451,bmse000451
bmse000452,bmse000452
bmse000453,bmse000453
bmse000454,bmse000454
bmse000455,bmse000455
bmse000457,bmse000457
